Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats,
53301500,Apple pie with crumb topping,1,1.00000,"piece (1/8 of 9"" pie)",1.00000,0.50000,0.50000,1.68300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63300,0.00000,0.00000,0.00000,0.00000,0.00000,121.90500,112.95717,0.00000,363.00000,2.74500,
53342000,Chocolate cream pie,1,1.00000,"piece (1/8 of 9"" pie)",1.00000,0.50000,0.50000,1.57680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32256,0.10944,0.00000,0.00000,0.00000,160.35408,93.71666,0.00000,380.16000,6.55200,
53347000,Pumpkin pie,1,1.00000,"piece (1/8 of 9"" pie)",1.00000,0.50000,0.50000,1.49380,0.00000,0.13398,0.13398,0.00000,0.00000,0.00000,0.00000,0.20482,0.21560,0.00000,0.00000,0.00000,123.71436,62.88128,0.00000,323.40000,2.74120,
53381000,Lemon meringue pie,1,1.00000,"piece (1/8 of 9"" pie)",1.00000,0.50000,0.50000,1.44261,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09042,0.00000,0.01781,0.00000,0.00000,0.00000,105.15024,172.26509,0.00000,367.16000,2.42490,
53385000,Pecan pie,1,1.00000,"piece (1/8 of 9"" pie)",1.00000,0.50000,0.50000,1.56294,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.03854,0.00000,0.00000,1.36217,108.10962,170.43489,0.00000,456.00000,4.03560,
53400200,Cheese blintz,1,1.00000,blintz,1.00000,0.50000,0.50000,0.57540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05810,0.00000,0.00000,0.00000,0.00000,4.98330,1.18580,0.00000,134.40000,2.00410,
53400300,Fruit blintz,1,1.00000,blintz,1.00000,0.50000,0.50000,0.44520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10920,0.01890,0.00000,0.00000,0.00000,0.00000,3.62880,1.99850,0.00000,123.20000,1.28520,
53410800,Peach cobbler,1,0.50000,cup,1.00000,0.25000,0.50000,1.15649,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,42.34977,69.63792,0.00000,209.00000,1.06900,
53415100,Apple crisp,1,0.50000,cup,1.00000,0.25000,0.50000,0.85608,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.00000,0.59655,29.16945,59.47296,0.00000,192.00000,0.80300,
53420200,Cream puff or éclair,1,1.00000,éclair,1.00000,0.50000,0.50000,1.58712,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04182,0.13668,0.00000,0.00000,0.00000,123.44346,26.92000,0.00000,267.24000,4.20240,
53420200,Cream puff or éclair,2,1.00000,cream puff,1.00000,0.50000,0.50000,1.74272,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04592,0.15008,0.00000,0.00000,0.00000,135.54576,29.56000,0.00000,293.44000,4.61440,
53510000,Plain Danish pastry,1,1.00000,"medium (4-1/4"" across)",1.00000,0.50000,0.50000,1.34810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04290,0.00000,0.00592,124.75125,45.42993,0.00000,261.95000,3.69200,
53510000,Plain Danish pastry,2,1.00000,"large (7"" across)",1.00000,0.50000,0.50000,2.94508,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09372,0.00000,0.01294,272.53350,99.24692,0.00000,572.26000,8.06560,
53510000,Plain Danish pastry,2,1.00000,"small (3"" across)",1.00000,0.50000,0.50000,0.72590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02310,0.00000,0.00319,67.17375,24.46227,0.00000,141.05000,1.98800,
53510000,Plain Danish pastry,2,1.00000,Toaster Strudel,1.00000,0.50000,0.50000,1.09922,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03498,0.00000,0.00483,101.72025,37.04287,0.00000,213.59000,3.01040,
53510100,Fruit-filled Danish pastry,1,1.00000,"medium (4-1/4"" across)",1.00000,0.50000,0.50000,1.44272,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16543,0.00000,0.00000,0.00000,0.00000,0.00000,111.63969,60.27520,0.00000,263.41000,3.45060,
53510100,Fruit-filled Danish pastry,2,1.00000,"large (7"" across)",1.00000,0.50000,0.50000,2.88544,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33086,0.00000,0.00000,0.00000,0.00000,0.00000,223.27938,120.55039,0.00000,526.82000,6.90120,
53510100,Fruit-filled Danish pastry,2,1.00000,"small (3"" across)",1.00000,0.50000,0.50000,0.71120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08155,0.00000,0.00000,0.00000,0.00000,0.00000,55.03365,29.71312,0.00000,129.85000,1.70100,
